Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,15.360000,15.450000,15.040000,15.240000,11.787778,222700
2014-01-03,15.420000,15.550000,15.210000,15.520000,12.004349,302600
2014-01-06,15.450000,15.780000,15.410000,15.750000,12.182250,452100
2014-01-07,15.750000,16.219999,15.650000,16.000000,12.375618,644500
2014-01-08,16.110001,16.219999,15.880000,15.930000,12.321476,315800
2014-01-09,15.880000,16.129999,15.880000,16.040001,12.406559,331800
2014-01-10,16.139999,17.059999,16.059999,16.740000,12.947991,616900
2014-01-13,16.799999,16.850000,16.360001,16.639999,12.870642,403700
2014-01-14,16.700001,17.530001,16.670000,17.490000,13.528096,788600
2014-01-15,17.570000,18.450001,17.570000,18.389999,14.224228,1094300
2014-01-16,18.500000,18.590000,17.990000,18.340000,14.185553,812400
2014-01-17,18.240000,18.490000,18.090000,18.330000,14.177818,914200
2014-01-21,18.389999,18.459999,17.830000,18.049999,13.961244,632400
2014-01-22,18.200001,18.200001,17.980000,18.160000,14.046325,373600
2014-01-23,18.389999,18.389999,16.889999,17.350000,13.419811,1196200
2014-01-24,17.150000,17.290001,16.600000,17.090000,13.218709,516500
2014-01-27,17.090000,17.180000,16.410000,16.590000,12.831969,633700
2014-01-28,16.709999,17.030001,16.709999,16.980000,13.133624,314000
2014-01-29,16.870001,17.010000,16.530001,16.540001,12.793295,242400
2014-01-30,16.879999,16.879999,16.280001,16.570000,12.816501,270400
2014-01-31,16.610001,16.680000,15.790000,15.870000,12.275066,420900
2014-02-03,15.890000,15.970000,15.180000,15.590000,12.058494,280400
2014-02-04,15.650000,16.000000,15.370000,15.820000,12.236392,210200
2014-02-05,15.850000,16.190001,15.780000,16.040001,12.406559,266900
2014-02-06,16.100000,16.320000,16.030001,16.280001,12.592193,479900
2014-02-07,16.400000,16.600000,16.360001,16.490000,12.754622,155600
2014-02-10,16.660000,16.690001,16.410000,16.600000,12.839705,185500
2014-02-11,16.760000,16.990000,16.680000,16.980000,13.133624,328700
2014-02-12,16.969999,17.200001,16.900000,17.000000,13.149094,251000
2014-02-13,16.969999,17.440001,16.969999,17.400000,13.458484,579300
2014-02-14,17.389999,17.629999,17.350000,17.559999,13.582242,154300
2014-02-18,17.490000,17.490000,16.580000,16.950001,13.110420,323800
2014-02-19,17.020000,17.090000,16.250000,16.320000,12.623133,412600
2014-02-20,16.350000,16.350000,15.890000,15.970000,12.352414,338300
2014-02-21,16.080000,16.219999,15.610000,15.730000,12.166780,367000
2014-02-24,15.750000,16.150000,15.450000,16.080000,12.437497,166200
2014-02-25,17.340000,17.340000,15.650000,15.780000,12.205454,177500
2014-02-26,15.760000,15.810000,15.500000,15.670000,12.120371,357800
2014-02-27,15.650000,15.810000,15.560000,15.750000,12.182250,357400
2014-02-28,15.800000,16.450001,15.670000,16.420000,12.700480,307500
2014-03-03,16.900000,18.010000,15.840000,16.969999,13.125891,315700
2014-03-04,17.110001,17.250000,16.750000,16.959999,13.118155,128200
2014-03-05,16.830000,17.250000,16.770000,17.200001,13.303791,88900
2014-03-06,17.200001,17.250000,16.459999,16.860001,13.040810,221400
2014-03-07,16.920000,17.190001,16.500000,16.620001,12.855174,159300
2014-03-10,16.600000,16.639999,15.820000,16.120001,12.468435,381200
2014-03-11,16.120001,16.490000,15.990000,16.180000,12.514844,67700
2014-03-12,16.110001,16.280001,15.850000,15.910000,12.306005,1036100
2014-03-13,15.990000,16.190001,15.760000,15.890000,12.290537,283800
2014-03-14,15.880000,15.990000,15.710000,15.730000,12.166780,108500
2014-03-17,15.850000,16.299999,15.810000,16.059999,12.422027,191100
2014-03-18,16.080000,16.500000,16.010000,16.420000,12.700480,75900
2014-03-19,16.480000,16.639999,16.100000,16.190001,12.522579,199400
2014-03-20,15.970000,16.400000,15.950000,16.170000,12.507109,281700
2014-03-21,16.320000,16.510000,16.080000,16.219999,12.545786,92500
2014-03-24,16.350000,16.420000,15.580000,16.120001,12.468435,314400
2014-03-25,16.260000,16.709999,16.070000,16.549999,12.801028,450100
2014-03-26,16.570000,16.930000,16.360001,16.660000,12.886112,152400
2014-03-27,16.680000,16.889999,16.500000,16.740000,12.947991,608600
2014-03-28,16.719999,17.690001,16.690001,17.240000,13.334729,556700
2014-03-31,17.379999,17.559999,16.930000,17.049999,13.187769,210100
2014-04-01,17.040001,17.180000,16.870001,16.900000,13.071745,103700
2014-04-02,16.889999,17.420000,16.889999,17.370001,13.435282,150200
2014-04-03,17.360001,17.440001,17.219999,17.340000,13.412076,141700
